T,Duration,Acceleration
1,758,1
2,386,1.96373
3,268,2.82836
4,212,3.57547
5,180,4.21111
6,155,4.89032
7,140,5.41429
8,152,4.98684
9,140,5.41429
10,129,5.87597
11,118,6.42373
12,102,7.43137
13,100,7.58
14,99,7.65657
15,94,8.06383
16,112,6.76786
